method,disk_radius,min_area_pixels,median_size,n_segments,slic_compactness,f1
median3+morphological,1,4,3,,,0.590083754609594
median3+morphological,1,2,3,,,0.590083754609594
median3+morphological,1,8,3,,,0.587236295986248
median3+morphological,1,6,3,,,0.587236295986248
morphological,1,4,0,,,0.5778209431315959
morphological,1,2,0,,,0.5778209431315959
morphological,1,8,0,,,0.574109670573827
morphological,1,6,0,,,0.574109670573827
median5+morphological,1,4,5,,,0.5738198433271494
median5+morphological,1,2,5,,,0.5738198433271494
median5+morphological,1,8,5,,,0.5733288723090703
median5+morphological,1,6,5,,,0.5733288723090703
median7+morphological,1,4,7,,,0.5413773386062884
median7+morphological,1,2,7,,,0.5413773386062884
median7+morphological,1,8,7,,,0.5408550633574224
median7+morphological,1,6,7,,,0.5408550633574224
median3+morphological,2,4,3,,,0.5362691539809114
median3+morphological,2,2,3,,,0.5362691539809114
median3+morphological,2,6,3,,,0.5362691539809114
median3+morphological,2,8,3,,,0.5362691539809114
median5+morphological,2,8,5,,,0.5350073900989837
median5+morphological,2,2,5,,,0.5350073900989837
median5+morphological,2,4,5,,,0.5350073900989837
median5+morphological,2,6,5,,,0.5350073900989837
median7+morphological,2,8,7,,,0.5179487279128717
median7+morphological,2,4,7,,,0.5179487279128717
median7+morphological,2,6,7,,,0.5179487279128717
median7+morphological,2,2,7,,,0.5179487279128717
morphological,2,6,0,,,0.5147928637468017
morphological,2,4,0,,,0.5147928637468017
morphological,2,2,0,,,0.5147928637468017
morphological,2,8,0,,,0.5147928637468017
median5+morphological,3,2,5,,,0.4280608696460278
median5+morphological,3,6,5,,,0.4280608696460278
median5+morphological,3,4,5,,,0.4280608696460278
median5+morphological,3,8,5,,,0.4280608696460278
median7+morphological,3,8,7,,,0.42747228825066536
median7+morphological,3,4,7,,,0.42747228825066536
median7+morphological,3,6,7,,,0.42747228825066536
median7+morphological,3,2,7,,,0.42747228825066536
median3+morphological,3,8,3,,,0.4139749705481146
median3+morphological,3,2,3,,,0.4139749705481146
median3+morphological,3,6,3,,,0.4139749705481146
median3+morphological,3,4,3,,,0.4139749705481146
morphological,3,8,0,,,0.4006440366605227
morphological,3,6,0,,,0.4006440366605227
morphological,3,4,0,,,0.4006440366605227
morphological,3,2,0,,,0.4006440366605227
median5+morphological,4,2,5,,,0.3566389160809614
median5+morphological,4,6,5,,,0.3566389160809614
median5+morphological,4,8,5,,,0.3566389160809614
median5+morphological,4,4,5,,,0.3566389160809614
median7+morphological,4,6,7,,,0.3542413941196982
median7+morphological,4,4,7,,,0.3542413941196982
median7+morphological,4,2,7,,,0.3542413941196982
median7+morphological,4,8,7,,,0.3542413941196982
median3+morphological,4,4,3,,,0.3534640443846742
median3+morphological,4,2,3,,,0.3534640443846742
median3+morphological,4,8,3,,,0.3534640443846742
median3+morphological,4,6,3,,,0.3534640443846742
morphological,4,6,0,,,0.32689914088357624
morphological,4,4,0,,,0.32689914088357624
morphological,4,2,0,,,0.32689914088357624
morphological,4,8,0,,,0.32689914088357624
median5+morphological+slic,2,8,5,400.0,0.1,0.23542307217893513
median7+morphological+slic,2,8,7,400.0,0.1,0.23542307217893513
median7+morphological+slic,1,2,7,400.0,0.1,0.23542307217893513
median5+morphological+slic,1,2,5,400.0,0.1,0.23542307217893513
median3+morphological+slic,2,4,3,400.0,0.1,0.23542307217893513
median5+morphological+slic,2,2,5,400.0,0.1,0.23542307217893513
morphological+slic,2,6,0,400.0,0.1,0.23542307217893513
median5+morphological+slic,2,4,5,400.0,0.1,0.23542307217893513
morphological+slic,2,2,0,400.0,0.1,0.23542307217893513
median7+morphological+slic,2,6,7,400.0,0.1,0.23542307217893513
median3+morphological+slic,2,2,3,400.0,0.1,0.23542307217893513
median7+morphological+slic,1,6,7,400.0,0.1,0.23542307217893513
median5+morphological+slic,2,6,5,400.0,0.1,0.23542307217893513
median3+morphological+slic,2,6,3,400.0,0.1,0.23542307217893513
median7+morphological+slic,2,2,7,400.0,0.1,0.23542307217893513
morphological+slic,2,8,0,400.0,0.1,0.23542307217893513
morphological+slic,2,4,0,400.0,0.1,0.23542307217893513
median7+morphological+slic,2,4,7,400.0,0.1,0.23542307217893513
median5+morphological+slic,1,6,5,400.0,0.1,0.23542307217893513
median5+morphological+slic,1,8,5,400.0,0.1,0.23542307217893513
median3+morphological+slic,2,8,3,400.0,0.1,0.23542307217893513
median5+morphological+slic,1,4,5,400.0,0.1,0.23542307217893513
median7+morphological+slic,1,8,7,400.0,0.1,0.23542307217893513
median7+morphological+slic,1,4,7,400.0,0.1,0.23542307217893513
morphological+slic,1,6,0,400.0,0.1,0.23435476164304195
morphological+slic,1,4,0,400.0,0.1,0.23435476164304195
morphological+slic,1,2,0,400.0,0.1,0.23435476164304195
morphological+slic,1,8,0,400.0,0.1,0.23435476164304195
morphological+slic,2,4,0,400.0,0.05,0.23158171883990245
median3+morphological+slic,2,4,3,400.0,0.05,0.23158171883990245
morphological+slic,2,6,0,400.0,0.05,0.23158171883990245
median5+morphological+slic,2,4,5,400.0,0.05,0.23158171883990245
morphological+slic,2,2,0,400.0,0.05,0.23158171883990245
median5+morphological+slic,2,2,5,400.0,0.05,0.23158171883990245
morphological+slic,2,8,0,400.0,0.05,0.23158171883990245
