match_id,model,F1_raw,F1_pp,Prec_raw,Rec_raw,Prec_pp,Rec_pp,threshold
12,s2_only_diff_svm,0.689,0.674,0.675,0.703,0.727,0.629,0.9
12,s2_only_best_svm,0.667,0.673,0.624,0.716,0.703,0.645,0.875
12,full_fusion_rf,0.675,0.669,0.768,0.602,0.862,0.547,0.775
12,s2_only_diff_rf,0.642,0.655,0.656,0.629,0.795,0.556,0.875
12,s2_grd_rf,0.638,0.614,0.827,0.52,0.903,0.465,0.8
12,s2_diff_coh_rf,0.628,0.605,0.728,0.552,0.88,0.461,0.85
12,pw2_svm_ndii,0.597,0.597,0.47,0.817,0.47,0.817,0.5
12,s2_only_best_rf,0.502,0.399,0.709,0.389,0.86,0.26,0.925
12,s2_best_coh_rf,0.314,0.231,0.845,0.193,0.983,0.131,0.95
12,coh_only_rf,0.2,0.211,0.111,0.989,0.118,0.99,0.1
12,coh_only_svm,0.199,0.209,0.111,0.999,0.117,0.991,0.325
12,grd_only_rf,0.199,0.208,0.111,1.0,0.116,0.991,0.1
73,s2_grd_rf,0.756,0.741,0.692,0.831,0.751,0.732,0.8
73,s2_only_best_rf,0.749,0.735,0.706,0.798,0.806,0.676,0.925
73,full_fusion_rf,0.724,0.717,0.677,0.779,0.765,0.675,0.775
73,s2_only_best_svm,0.632,0.651,0.477,0.936,0.528,0.847,0.875
73,s2_only_diff_svm,0.625,0.635,0.485,0.878,0.537,0.777,0.9
73,s2_only_diff_rf,0.574,0.598,0.433,0.852,0.496,0.751,0.875
73,s2_diff_coh_rf,0.526,0.515,0.427,0.685,0.497,0.533,0.85
73,s2_best_coh_rf,0.596,0.496,0.795,0.477,0.856,0.349,0.95
73,pw2_svm_ndii,0.397,0.397,0.251,0.938,0.251,0.938,0.5
73,grd_only_rf,0.198,0.199,0.11,1.0,0.111,0.917,0.1
73,coh_only_svm,0.198,0.198,0.11,0.997,0.111,0.915,0.325
73,coh_only_rf,0.197,0.197,0.109,0.985,0.111,0.903,0.1
