Season,Pol,Version,n_mowed,n_not_mowed,mean_before_mowed,mean_after_mowed,mean_before_not_mowed,mean_after_not_mowed,Cohen's d (after),"MW p (after, mow>not)"
Early (Apr-May),VV,Original,62,3762,0.271,0.264,0.320,0.282,-0.126,0.4819
Early (Apr-May),VV,SNR-corrected,62,3762,0.295,0.285,0.339,0.299,-0.092,0.3097
Early (Apr-May),VH,Original,62,3762,0.334,0.311,0.343,0.316,-0.034,0.5311
Early (Apr-May),VH,SNR-corrected,62,3762,0.433,0.394,0.415,0.381,0.070,0.1441
Peak (Jun-Jul),VV,Original,168,9440,0.266,0.266,0.286,0.293,-0.176,0.9678
Peak (Jun-Jul),VV,SNR-corrected,168,9372,0.289,0.284,0.302,0.307,-0.144,0.8777
Peak (Jun-Jul),VH,Original,168,9440,0.297,0.296,0.313,0.311,-0.104,0.6997
Peak (Jun-Jul),VH,SNR-corrected,168,9372,0.373,0.362,0.372,0.365,-0.013,0.1806
Late (Aug-Oct),VV,Original,86,3752,0.330,0.259,0.316,0.270,-0.077,0.3411
Late (Aug-Oct),VV,SNR-corrected,86,3728,0.359,0.282,0.331,0.283,-0.007,0.1130
Late (Aug-Oct),VH,Original,86,3752,0.275,0.327,0.288,0.315,0.084,0.0208
Late (Aug-Oct),VH,SNR-corrected,86,3728,0.360,0.427,0.341,0.373,0.307,0.0000
