Model,Features,Num_Features,Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN,Group,Threshold
S2-only_best RF,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after']",5,0.9193873916656773,0.9254327260349132,0.9193873916656773,0.919680747014202,0.954,4152,3592,110,569,A,0.317
S2-only_best SVM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after']",5,0.9223554553009616,0.9291148611153173,0.9223554553009616,0.9226401773654898,0.962,4150,3619,83,571,A,0.2585
S2-only_best LGBM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after']",5,0.914519767303811,0.9191186583597277,0.914519767303811,0.9148181036126607,0.951,4164,3539,163,557,A,0.5415
S2-only_diff RF,"['ndii_diff', 'gndvi_diff', 'swir_diff']",3,0.9134512643951086,0.9196966964893795,0.9134512643951086,0.913767093621314,0.942,4123,3571,131,598,A,0.4402
S2-only_diff SVM,"['ndii_diff', 'gndvi_diff', 'swir_diff']",3,0.9195061142110886,0.9268901696351952,0.9195061142110886,0.9198017000127428,0.955,4126,3619,83,595,A,0.3083
S2-only_diff LGBM,"['ndii_diff', 'gndvi_diff', 'swir_diff']",3,0.9100083105781788,0.9160897020192382,0.9100083105781788,0.9103359193253714,0.947,4112,3553,149,609,A,0.3771
GRD-only RF,"['vh_diff', 'cr_diff', 'cr_after', 'vh_after']",4,0.5406624718033954,0.5285837933527704,0.5406624718033954,0.5275387525716233,0.524,3269,1285,2417,1452,A,0.3758
GRD-only SVM,"['vh_diff', 'cr_diff', 'cr_after', 'vh_after']",4,0.5568087379793423,0.5279743380353406,0.5568087379793423,0.4668005594109119,0.53,4300,390,3312,421,A,0.401
GRD-only LGBM,"['vh_diff', 'cr_diff', 'cr_after', 'vh_after']",4,0.5419684198029205,0.52632302723848,0.5419684198029205,0.5218089045011154,0.523,3425,1140,2562,1296,A,0.2365
S2+GRD RF,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'vh_diff', 'cr_diff', 'cr_after', 'vh_after']",9,0.9187937789386205,0.9248159357765379,0.9187937789386205,0.9190891819087084,0.955,4150,3589,113,571,A,0.5012
S2+GRD SVM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'vh_diff', 'cr_diff', 'cr_after', 'vh_after']",9,0.9128576516680518,0.9190313103065972,0.9128576516680518,0.9131753363470559,0.963,4122,3567,135,599,A,0.1997
S2+GRD LGBM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'vh_diff', 'cr_diff', 'cr_after', 'vh_after']",9,0.9098895880327674,0.9140747109618684,0.9098895880327674,0.9101974420493036,0.952,4155,3509,193,566,A,0.4669
Coh-only RF,"['coh_vv', 'coh_vh']",2,0.47536496350364965,0.5041364217128289,0.47536496350364965,0.4775661397378607,0.481,825,738,602,1123,B,0.0174
Coh-only SVM,"['coh_vv', 'coh_vh']",2,0.47110705596107055,0.5092217419652146,0.47110705596107055,0.4682994437247885,0.481,733,816,524,1215,B,0.3009
Coh-only LGBM,"['coh_vv', 'coh_vh']",2,0.47597323600973235,0.5017057712480169,0.47597323600973235,0.47920248171825014,0.477,854,711,629,1094,B,0.0302
S2_best+Coh RF,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'coh_vv', 'coh_vh']",7,0.9096715328467153,0.9110615697246508,0.9096715328467153,0.9099828138965336,0.94,1766,1225,115,182,B,0.5792
S2_best+Coh SVM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'coh_vv', 'coh_vh']",7,0.8871654501216545,0.8875052120987437,0.8871654501216545,0.8872983434583017,0.936,1752,1165,175,196,B,0.7203
S2_best+Coh LGBM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'coh_vv', 'coh_vh']",7,0.8807785888077859,0.8808987807307964,0.8807785888077859,0.8808333458492285,0.93,1748,1148,192,200,B,0.7415
S2_diff+Coh RF,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'coh_vv', 'coh_vh']",5,0.8604014598540146,0.8688412260459834,0.8604014598540146,0.8614689555818502,0.9,1619,1210,130,329,B,0.6044
S2_diff+Coh SVM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'coh_vv', 'coh_vh']",5,0.8397201946472019,0.8436958424578506,0.8397201946472019,0.8406024305826015,0.892,1625,1136,204,323,B,0.6741
S2_diff+Coh LGBM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'coh_vv', 'coh_vh']",5,0.8579683698296837,0.8674090541564182,0.8579683698296837,0.8590899016972069,0.875,1608,1213,127,340,B,0.5354
Full-fusion RF,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'vh_diff', 'cr_diff', 'cr_after', 'vh_after', 'coh_vv', 'coh_vh']",11,0.9218369829683698,0.9236751281178244,0.9218369829683698,0.9221602720369926,0.952,1778,1253,87,170,B,0.5779
Full-fusion SVM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'vh_diff', 'cr_diff', 'cr_after', 'vh_after', 'coh_vv', 'coh_vh']",11,0.8594890510948905,0.8590151648577489,0.8594890510948905,0.8590628324418864,0.919,1741,1085,255,207,B,0.8661
Full-fusion LGBM,"['ndii_diff', 'gndvi_diff', 'swir_diff', 'ndii_after', 'swir_after', 'vh_diff', 'cr_diff', 'cr_after', 'vh_after', 'coh_vv', 'coh_vh']",11,0.8920316301703163,0.8933407545658991,0.8920316301703163,0.8923743500539614,0.933,1740,1193,147,208,B,0.6584
