method,disk_radius,min_area_pixels,median_size,n_segments,slic_compactness,f1
median3+morphological,1,4,3,,,0.6019307595733818
median3+morphological,1,2,3,,,0.6019307595733818
median3+morphological,1,8,3,,,0.5994436978072254
median3+morphological,1,6,3,,,0.5994436978072254
morphological,1,2,0,,,0.5985473494716325
morphological,1,4,0,,,0.5985473494716325
morphological,1,8,0,,,0.5962328008036488
morphological,1,6,0,,,0.5962328008036488
median5+morphological,1,4,5,,,0.5864725219108868
median5+morphological,1,2,5,,,0.5864725219108868
median5+morphological,1,8,5,,,0.5864006127817946
median5+morphological,1,6,5,,,0.5864006127817946
median7+morphological,1,4,7,,,0.5465574697515106
median7+morphological,1,2,7,,,0.5465574697515106
median7+morphological,1,8,7,,,0.5464795870951372
median7+morphological,1,6,7,,,0.5464795870951372
median3+morphological,2,4,3,,,0.5329858246059537
median3+morphological,2,2,3,,,0.5329858246059537
median3+morphological,2,6,3,,,0.5329858246059537
median3+morphological,2,8,3,,,0.5329858246059537
median5+morphological,2,4,5,,,0.529449751390063
median5+morphological,2,6,5,,,0.529449751390063
median5+morphological,2,2,5,,,0.529449751390063
median5+morphological,2,8,5,,,0.529449751390063
morphological,2,2,0,,,0.5252039298468038
morphological,2,6,0,,,0.5252039298468038
morphological,2,8,0,,,0.5252039298468038
morphological,2,4,0,,,0.5252039298468038
median7+morphological,2,8,7,,,0.5124570728567038
median7+morphological,2,2,7,,,0.5124570728567038
median7+morphological,2,4,7,,,0.5124570728567038
median7+morphological,2,6,7,,,0.5124570728567038
median5+morphological,3,2,5,,,0.4301304183812231
median5+morphological,3,8,5,,,0.43002626096367597
median5+morphological,3,4,5,,,0.43002626096367597
median5+morphological,3,6,5,,,0.43002626096367597
median3+morphological,3,6,3,,,0.4256090812726881
median3+morphological,3,4,3,,,0.4256090812726881
median3+morphological,3,2,3,,,0.4256090812726881
median3+morphological,3,8,3,,,0.4256090812726881
median7+morphological,3,2,7,,,0.4253201480086295
median7+morphological,3,4,7,,,0.42521499247131794
median7+morphological,3,6,7,,,0.42521499247131794
median7+morphological,3,8,7,,,0.42521499247131794
morphological,3,6,0,,,0.4174284188863595
morphological,3,4,0,,,0.4174284188863595
morphological,3,8,0,,,0.4174284188863595
morphological,3,2,0,,,0.4174284188863595
